Data,indeks,Wydano
1/3/2022 8:09,F02S107294,1
1/3/2022 8:09,F02S105836,1
1/3/2022 8:09,F02S105949,4
1/3/2022 8:09,F02S107295,1
1/3/2022 8:09,F02S105835,2
1/3/2022 8:09,F02S101507,1
1/3/2022 8:09,F02S105133,1
1/3/2022 8:09,F02S102253,1
1/4/2022 6:50,F02S108263,1
1/4/2022 6:50,F02S108262,1
1/4/2022 6:50,F02S107296,1
1/4/2022 6:50,F02S108023,1
1/4/2022 6:50,F02S108216,1
1/4/2022 6:50,F02S106604,1
1/4/2022 6:50,F02S104118,1
1/4/2022 6:50,F02S103401,1
1/5/2022 7:10,F02S105572,1
1/5/2022 7:10,F02S102124,0.2
1/5/2022 7:10,F02S102124,0.2
1/5/2022 7:10,F02S105571,1
1/5/2022 7:10,F02S104705,1
1/5/2022 7:10,F02S105071,2
1/5/2022 7:10,F02S106682,1
1/5/2022 7:10,F02S103376,1
1/5/2022 7:10,F02S106016,2
1/5/2022 7:10,F02S105345,1
1/5/2022 7:10,F02S103981,1
1/10/2022 7:02,F02S104488,2
1/10/2022 7:02,F02S100719,0.2
1/10/2022 7:02,F02S101790,1
1/10/2022 7:02,F02S108057,1
1/10/2022 7:02,F02S105154,2
1/10/2022 7:02,F02S105842,1
1/10/2022 7:02,F02S108051,6
1/10/2022 7:02,F02S108024,8
1/10/2022 7:02,F02S103260,1
1/10/2022 7:02,F02S103940,2
1/10/2022 7:02,F02S104443,1
1/10/2022 7:02,F02S103871,1
1/10/2022 7:02,F02S103702,1
1/10/2022 7:02,F02S103524,12
1/11/2022 7:04,F02S105099,1
1/11/2022 7:04,F02S103890,1
1/11/2022 7:04,F02S106000,1
1/11/2022 7:04,F02S104694,1
1/11/2022 7:04,F02S105401,1
1/11/2022 7:04,F02S104021,1
1/11/2022 7:04,F02S107284,1
1/12/2022 6:48,F02S100194,2
1/12/2022 6:48,F02S108051,4
1/12/2022 6:48,F02S108110,1
1/12/2022 6:48,F02S108353,2
1/12/2022 6:48,F02S102334,1
1/12/2022 6:48,F02S102330,2
1/12/2022 6:48,F02S104939,1
1/12/2022 6:48,F02S105197,1
1/12/2022 6:48,F02S104932,10
1/12/2022 6:48,F02S106789,1
1/13/2022 6:57,F02S106682,1
1/13/2022 6:57,F02S100719,0.2
1/13/2022 6:57,F02S103936,1
1/13/2022 6:57,F02S103433,2
1/13/2022 6:57,F02S103435,1
1/13/2022 6:57,F02S108163,4
1/13/2022 6:57,F02S108058,2
1/13/2022 6:57,F02S105925,1
1/13/2022 6:57,F02S106361,1
1/14/2022 6:55,F02S106366,2
1/14/2022 6:55,F02S102342,1
1/14/2022 6:55,F02S105728,1
1/14/2022 6:55,F02S105684,1
1/14/2022 6:55,F02S100002,1
1/14/2022 6:55,F02S100053,1
1/14/2022 6:55,F02S106135,1
1/14/2022 6:55,F02S100420,1
1/14/2022 6:55,F02S100007,1
1/14/2022 6:55,F02S108027,12
1/17/2022 6:49,F02S103793,1
1/17/2022 6:49,F02S105154,1
1/17/2022 6:49,F02S107114,1
1/17/2022 6:49,F02S106000,1
1/17/2022 6:49,F02S108126,5
1/17/2022 6:49,F02S106990,1
1/17/2022 6:49,F02S107822,1
1/17/2022 6:49,F02S102352,1
1/17/2022 6:49,F02S102337,1
1/17/2022 6:49,F02S108071,10
1/17/2022 6:49,F02S105154,1
1/17/2022 6:49,F02S104419,2
1/17/2022 6:49,F02S101432,1
1/17/2022 6:49,F02S107582,1
1/17/2022 6:49,F02S106773,1
1/17/2022 6:49,F02S100072,1
1/17/2022 6:49,F02S100194,2
1/17/2022 6:49,F02S104444,
1/18/2022 6:57,F02S103938,1
1/18/2022 6:57,F02S104694,1
1/18/2022 6:57,F02S101797,1
1/18/2022 6:57,F02S106401,1
1/18/2022 6:57,F02S104750,1
1/18/2022 6:57,F02S107284,1
1/18/2022 6:57,F02S104021,1
1/18/2022 6:57,F02S100189,1
1/18/2022 6:57,F02S106445,1
1/18/2022 6:57,F02S106439,1
1/19/2022 6:56,F02S107107,1
1/19/2022 6:56,F02S102675,1
1/19/2022 6:56,F02S101024,1
1/19/2022 6:56,F02S108081,1
1/19/2022 6:56,F02S100007,1
1/19/2022 6:56,F02S100493,1
1/19/2022 6:56,F02S101432,1
1/19/2022 6:56,F02S104750,1
1/19/2022 6:56,F02S104651,1
1/19/2022 6:56,F02S101392,1
1/19/2022 6:56,F02S107045,5
1/19/2022 6:56,F02S104304,1
1/19/2022 6:56,F02S104305,1
1/19/2022 6:56,F02S106167,1
1/19/2022 6:56,F02S106620,1
1/19/2022 6:56,F02S102291,1
1/19/2022 6:56,F02S107198,1
1/19/2022 6:56,F02S106955,1
1/19/2022 6:56,F02S100956,1
1/19/2022 6:56,F02S104742,1
1/20/2022 6:51,F02S103657,6
1/20/2022 6:51,F02S106629,1
1/20/2022 6:51,F02S107625,2
1/20/2022 6:51,F02S104543,1
1/20/2022 6:51,F02S106620,1
1/20/2022 6:51,F02S101443,1
1/20/2022 6:51,F02S102050,1
1/20/2022 6:51,F02S101153,1
1/21/2022 6:58,F02S102820,1
1/21/2022 6:58,F02S108363,3
1/21/2022 6:58,F02S101826,2
1/21/2022 6:58,F02S106946,1
1/21/2022 6:58,F02S106870,1
1/21/2022 6:58,F02S104038,1
1/24/2022 7:00,F02S103940,1
1/24/2022 7:00,F02S107286,1
1/24/2022 7:00,F02S106700,1
1/24/2022 7:00,F02S100002,3
1/24/2022 7:00,F02S106703,1
1/24/2022 7:00,F02S106704,1
1/24/2022 7:00,F02S103936,1
1/24/2022 7:00,F02S103433,1
1/24/2022 7:00,F02S106355,1
1/24/2022 7:00,F02S105192,1
1/24/2022 7:00,F02S107353,1
1/24/2022 7:00,F02S103160,1
1/24/2022 7:00,F02S102915,2
1/24/2022 7:00,F02S105103,1
