Material;Ilosc
F02S103110;1
F02S106603;1
F02S104048;1
F02S102386;1
F02S106041;1
F02S101444;3
F02S104761;1
F02S100719;0,18
F02S107082;1
F02S106653;1
F02S105846;1
F02S100719;0,2
F02S102521;1
F02S105740;1
F02S107071;1
F02S106898;1
F02S105116;1
F02S104929;1
F02S104904;1
F02S101528;1
F02S102870;1
F02S106658;1
F02S106146;2
F02S103386;1
F02S106874;1
F02S100794;2
F02S105254;1
F02S107037;1
F02S106973;2
F02S100194;2
F02S100077;1
F02S100628;1
F02S100628;1
F02S102703;1
F02S100177;1
F02S100046;1
F02S100092;1
F02S100864;1
F02S107071;2
F02S106016;1
F02S106957;1
F02S105071;2
F02S103906;1
F02S104285;1
F02S101082;1
F02S100002;1
F02S100002;1
F02S106363;1
F02S100833;1
F02S100002;1
F02S102878;3
F02S100162;1
F02S104815;1
F02S105570;1
F02S100090;2
F02S106674;3
F02S105999;1
F02S106455;1
F02S100719;0,3
F02S103142;1
F02S103936;1
F02S103433;1
F02S105872;1
F02S103460;1
F02S102502;1
F02S105072;1
F02S105069;2
F02S103793;1
F02S100089;1
F02S106170;2
F02S104358;1
F02S100185;1
F02S105154;1
F02S106573;1
F02S104699;1
F02S105290;4
F02S104363;1
F02S104305;1
F02S104304;1
F02S100194;2
F02S107056;1
F02S107099;2
F02S105322;1
F02S104094;1
F02S103590;1
F02S103567;1
F02S104305;1
F02S103506;4
F02S100916;1
F02S100399;1
F02S106016;2
F02S104190;2
F02S102124;0,3
F02S105322;1
F02S100414;1
F02S104304;1
F02S103939;1
F02S103941;3
F02S104404;1
F02S100916;1
F02S104172;1
F02S107048;4
F02S103801;2
F02S105235;1
F02S100194;4
F02S104933;2
F02S103901;2
F02S103939;1
F02S103941;2
F02S104404;1
F02S105120;1
F02S103783;2
F02S107092;2
F02S104190;2
F02S105297;1
F02S100194;2
F02S102820;1
F02S104419;1
F02S106008;1
F02S100194;1
F02S104815;1
F02S101429;1
F02S105842;1
F02S103474;1
F02S106805;1
F02S103901;1
F02S100194;1
F02S104884;1
F02S104305;1
F02S100855;2
F02S106898;1
F02S104419;1
F02S106268;1
F02S107065;3
F02S107066;1
F02S107075;4
F02S107107;18
F02S101940;1
F02S100514;4
F02S100002;1
F02S100002;1
F02S100090;2
F02S100833;1
F02S101225;1
F02S100123;1
F02S104864;1
F02S100497;1
F02S100194;2
F02S103936;1
F02S103433;1
F02S100185;1
F02S100194;2
F02S100046;1
F02S106674;4
F02S100194;1
F02S105221;4
F02S106941;2
F02S103940;1
F02S104552;1
F02S104417;4
F02S101790;2
F02S100534;4
F02S104304;1
F02S104305;1
F02S100162;2
F02S106789;1
F02S105657;1
F02S100189;1
F02S105856;2
F02S104093;1
F02S102601;1
F02S103978;1
F02S103627;1
F02S100194;2
F02S104958;3
F02S101108;2
F02S100002;1
F02S104801;1
F02S100719;0,2
F02S103110;1
F02S107037;1
F02S105527;2
F02S106599;4
F02S101187;2
F02S100194;2
F02S103433;1
F02S105155;2
F02S105098;1
F02S100194;1
F02S105496;1
F02S102636;1
F02S105771;1
F02S100305;1
F02S100719;0,2
F02S102682;1
F02S100849;1
F02S101496;4
F02S105884;2
F02S102693;1
F02S100785;1
F02S102124;0,5
F02S103110;1
F02S105290;5
F02S104172;1
F02S102693;1
F02S106688;1
F02S100497;2
F02S105889;1
F02S100194;2
F02S102820;2
F02S102820;1
F02S101180;1
F02S101180;1
F02S102325;1
F02S103936;1
F02S103433;1
F02S102521;1
F02S104249;1
F02S106893;1
F02S107046;1
F02S104488;1
F02S102402;2
F02S105728;1
F02S107094;5
F02S104038;2
F02S104745;1
F02S101790;2
F02S104313;1
F02S105333;1
F02S100198;1
F02S100833;1
F02S100090;2
F02S106068;1
F02S107119;1
F02S107120;1
F02S101345;2
F02S101798;1
F02S104694;1
F02S102532;1
F02S106837;1
F02S104762;1
F02S101346;2
F02S106897;1
