Nr SAP,MIN.,MAX.
F02S100001,,
F02S100002,5,15
F02S100003,,
F02S100004,,
F02S100005,,
F02S100006,2,5
F02S100007,2,5
F02S100008,,
F02S100009,,
F02S100010,0,0
F02S100011,1,4
F02S100012,2,5
F02S100013,2,5
F02S100014,,
F02S100015,,
F02S100016,,
F02S100017,1,2
F02S100018,,
F02S100019,,
F02S100020,,
F02S100021,1,1
F02S100022,,
F02S100023,,
F02S100024,2,3
F02S100025,,
F02S100026,2,2
F02S100027,,
F02S100028,,
F02S100029,,
F02S100030,,
F02S100031,,
F02S100032,,
F02S100033,1,7
F02S100034,,
F02S100035,2,3
F02S100036,2,4
F02S100037,,
F02S100038,,
F02S100039,1,1
F02S100040,,
F02S100041,1,1
F02S100042,,
F02S100043,2,2
F02S100044,1,2
F02S100045,1,1
F02S100046,2,4
F02S100047,2,3
F02S100048,,
F02S100049,,
F02S100050,,
F02S100051,2,3
F02S100052,,
F02S100053,1,5
F02S100054,1,2
F02S100055,,
F02S100056,1,1
F02S100057,,
F02S100059,,
F02S100060,1,1
F02S100061,,
F02S100062,,
F02S100063,,
F02S100064,2,5
F02S100065,1,1
F02S100066,1,2
F02S100067,1,2
F02S100068,,
F02S100069,1,1
F02S100070,2,2
F02S100071,,
F02S100072,2,2
F02S100073,,
F02S100074,,
F02S100075,2,5
F02S100076,2,4
F02S100077,2,4
F02S100078,2,2
F02S100079,1,2
F02S100080,,
F02S100081,1,2
F02S100082,,
F02S100083,,
F02S100084,,
F02S100085,10,30
F02S100086,2,2
F02S100087,,
F02S100088,1,2
F02S100089,1,2
F02S100090,2,6
F02S100091,1,3
F02S100092,1,2
F02S100093,1,1
F02S100094,1,1
F02S100095,1,1
F02S100096,1,1
F02S100097,1,1
F02S100098,,
F02S100099,1,3
F02S100100,1,1
F02S100101,1,1
F02S100102,1,3
F02S100103,1,2
F02S100104,1,1
F02S100105,1,2
F02S100106,1,1
F02S100107,,
F02S100108,,
F02S100109,1,1
F02S100110,0,0
F02S100111,1,1
F02S100112,,
F02S100113,,
F02S100114,n,n
F02S100115,1,1
F02S100116,3,10
F02S100117,,
F02S100118,,
F02S100119,,
F02S100120,n,n
F02S100121,,
F02S100122,1,2
F02S100123,1,3
F02S100124,,
F02S100125,1,2
F02S100126,,
F02S100127,2,3
F02S100128,1,3
F02S100129,3,6
F02S100130,,
F02S100131,1,5
F02S100132,1,5
F02S100133,5,10
F02S100134,1,2
F02S100135,1,1
F02S100136,,
F02S100137,,
F02S100138,,
F02S100139,1,5
F02S100140,,
F02S100141,,
F02S100142,,
F02S100143,,
F02S100144,,
F02S100145,4,20
F02S100146,1,1
F02S100147,,
F02S100148,,
F02S100149,,
F02S100150,2,2
F02S100151,1,2
F02S100152,1,2
F02S100153,1,1
F02S100154,1,2
F02S100155,,
F02S100156,1,2
F02S100157,2,6
 F02S100158,2,3
F02S100159,,
F02S100160,,
F02S100161,1,2
F02S100162,2,5
F02S100163,,
F02S100164,1,2
F02S100165,,
F02S100166,1,3
F02S100167,,
F02S100168,,
F02S100169,2,4
F02S100170,,
F02S100171,,
F02S100172,,
F02S100173,4,8
F02S100174,,
F02S100175,,
F02S100176,1,2
F02S100177,1,2
F02S100178,1,2
F02S100179,1,2
F02S100180,1,2
F02S100181,,
F02S100182,,
F02S100183,,
F02S100184,,
F02S100185,2,4
F02S100186,1,1
F02S100187,2,2
F02S100188,,
F02S100189,2,2
F02S100190,2,4
F02S100191,,
F02S100192,10,20
F02S100193,,
F02S100194,5,20
F02S100195,5,10
F02S100196,1,6
F02S100197,,
F02S100198,0,0
F02S100199,1,2
F02S100200,,
F02S100201,1,2
F02S100203,1,1
F02S100204,,
F02S100205,,
F02S100206,,
F02S100207,,
F02S100208,,
F02S100209,4,10
F02S100210,,
F02S100211,,
F02S100212,2,3
F02S100213,,
F02S100214,4,10
F02S100215,,
F02S100216,,
F02S100217,4,15
F02S100218,4,10
F02S100219,2,4
F02S100220,,
F02S100221,1,3
F02S100222,1,2
F02S100223,1,7
F02S100224,,
F02S100225,,
F02S100226,,
F02S100227,,
F02S100228,1,5
F02S100229,,
F02S100230,,
F02S100231,1,1
F02S100232,,
F02S100233,3,15
F02S100234,2,4
F02S100235,,
F02S100236,,
F02S100237,,
F02S100238,,
F02S100239,,
F02S100240,,
F02S100241,,
F02S100242,2,4
F02S100243,,
F02S100244,,
F02S100245,1,2
F02S100246,,
F02S100247,,
F02S100248,,
F02S100249,5,15
F02S100250,,
F02S100251,1,5
F02S100252,,
F02S100253,,
F02S100254,1,3
F02S100255,0,0
F02S100256,,
F02S100257,2,4
F02S100258,2,6
F02S100259,2,4
F02S100260,,
F02S100261,n,n
F02S100262,,
F02S100263,,
F02S100264,,
F02S100265,,
F02S100266,,
F02S100267,,
F02S100268,,
F02S100269,,
F02S100270,1,1
F02S100271,2,5
F02S100272,2,6
F02S100273,1,2
F02S100274,1,5
F02S100275,,
F02S100276,,
