Data,indeks,Wydano,Nr SAP,CZ??? KRYTYCZNA,W SAP
01/03/2022 08:09:42,F02S107294,1,F02S100001,,
01/03/2022 08:09:42,F02S105836,1,F02S100002,K,0
01/03/2022 08:09:42,F02S105949,4,F02S100003,,
01/03/2022 08:09:42,F02S107295,1,F02S100004,,
01/03/2022 08:09:42,F02S105835,2,F02S100005,,
01/03/2022 08:09:42,F02S101507,1,F02S100006,,3
01/03/2022 08:09:42,F02S105133,1,F02S100007,,2
01/03/2022 08:09:42,F02S102253,1,F02S100008,,
01/04/2022 06:50:48,F02S108263,1,F02S100009,,
01/04/2022 06:50:48,F02S108262,1,F02S100010,,0
01/04/2022 06:50:48,F02S107296,1,F02S100011,,4
01/04/2022 06:50:48,F02S108023,1,F02S100012,,4
01/04/2022 06:50:48,F02S108216,1,F02S100013,,2
01/04/2022 06:50:48,F02S106604,1,F02S100014,,
01/04/2022 06:50:48,F02S104118,1,F02S100015,,
01/04/2022 06:50:48,F02S103401,1,F02S100016,,
01/05/2022 07:10:02,F02S105572,1,F02S100017,,1
01/05/2022 07:10:02,F02S102124,0.2,F02S100018,,
01/05/2022 07:10:02,F02S102124,0.2,F02S100019,,
01/05/2022 07:10:02,F02S105571,1,F02S100020,,
01/05/2022 07:10:02,F02S104705,1,F02S100021,,1
01/05/2022 07:10:02,F02S105071,2,F02S100022,,
01/05/2022 07:10:02,F02S106682,1,F02S100023,,
01/05/2022 07:10:02,F02S103376,1,F02S100024,K,1
01/05/2022 07:10:02,F02S106016,2,F02S100025,,
01/05/2022 07:10:02,F02S105345,1,F02S100026,,1
01/05/2022 07:10:02,F02S103981,1,F02S100027,,
01/10/2022 07:02:33,F02S104488,2,F02S100028,,
01/10/2022 07:02:33,F02S100719,0.2,F02S100029,,
01/10/2022 07:02:33,F02S101790,1,F02S100030,,
01/10/2022 07:02:33,F02S108057,1,F02S100031,,
01/10/2022 07:02:33,F02S105154,2,F02S100032,,
01/10/2022 07:02:33,F02S105842,1,F02S100033,,7
01/10/2022 07:02:33,F02S108051,6,F02S100034,,
01/10/2022 07:02:33,F02S108024,8,F02S100035,,2
01/10/2022 07:02:33,F02S103260,1,F02S100036,K,4
01/10/2022 07:02:33,F02S103940,2,F02S100037,,
01/10/2022 07:02:33,F02S104443,1,F02S100038,,
01/10/2022 07:02:33,F02S103871,1,F02S100039,,0
01/10/2022 07:02:33,F02S103702,1,F02S100040,,
01/10/2022 07:02:33,F02S103524,12,F02S100041,,1
01/11/2022 07:04:55,F02S105099,1,F02S100042,,
01/11/2022 07:04:55,F02S103890,1,F02S100043,,1
01/11/2022 07:04:55,F02S106000,1,F02S100044,,2
01/11/2022 07:04:55,F02S104694,1,F02S100045,,0
01/11/2022 07:04:55,F02S105401,1,F02S100046,,3
01/11/2022 07:04:55,F02S104021,1,F02S100047,,3
01/11/2022 07:04:55,F02S107284,1,F02S100048,,
01/12/2022 06:48:41,F02S100194,2,F02S100049,,
01/12/2022 06:48:41,F02S108051,4,F02S100050,,
01/12/2022 06:48:41,F02S108110,1,F02S100051,,1
01/12/2022 06:48:41,F02S108353,2,F02S100052,,
01/12/2022 06:48:41,F02S102334,1,F02S100053,,0
01/12/2022 06:48:41,F02S102330,2,F02S100054,,
01/12/2022 06:48:41,F02S104939,1,F02S100055,,
01/12/2022 06:48:41,F02S105197,1,F02S100056,,0
01/12/2022 06:48:41,F02S104932,10,F02S100057,,
01/12/2022 06:48:41,F02S106789,1,F02S100059,,
01/13/2022 06:57:16,F02S106682,1,F02S100060,,
01/13/2022 06:57:16,F02S100719,0.2,F02S100061,,
01/13/2022 06:57:16,F02S103936,1,F02S100062,,
01/13/2022 06:57:16,F02S103433,2,F02S100063,,
01/13/2022 06:57:16,F02S103435,1,F02S100064,K,4
01/13/2022 06:57:16,F02S108163,4,F02S100065,,1
01/13/2022 06:57:16,F02S108058,2,F02S100066,,
01/13/2022 06:57:16,F02S105925,1,F02S100067,,1
01/13/2022 06:57:16,F02S106361,1,F02S100068,,
01/14/2022 06:55:22,F02S106366,2,F02S100069,,1
01/14/2022 06:55:22,F02S102342,1,F02S100070,,2
01/14/2022 06:55:22,F02S105728,1,F02S100071,,
01/14/2022 06:55:22,F02S105684,1,F02S100072,,1
01/14/2022 06:55:22,F02S100002,1,F02S100073,,
01/14/2022 06:55:22,F02S100053,1,F02S100074,,
01/14/2022 06:55:22,F02S106135,1,F02S100075,,4
01/14/2022 06:55:22,F02S100420,1,F02S100076,,3
01/14/2022 06:55:22,F02S100007,1,F02S100077,,3
